"","Artists_names","titles","links"
"88","Jacqueline A N Stieger","Portrait of Standing Woman seen from behind","https://collections.ed.ac.uk/art/record/20822?highlight=*:*"
"89","Annette Kierulf","Face Value (2007)","https://collections.ed.ac.uk/art/record/99902?highlight=*:*"
"90","Emma Gillies","Giraffe","https://collections.ed.ac.uk/art/record/53749?highlight=*:*"
"91","Victorine Anne Schilsky","Seated Young Male Nude (1948)","https://collections.ed.ac.uk/art/record/20832?highlight=*:*"
"92","Unknown","Gem cabinet 5 (of 6) containing 43 medallions","https://collections.ed.ac.uk/art/record/20619?highlight=*:*"
"93","John Hunter","Untitled","https://collections.ed.ac.uk/art/record/21840?highlight=*:*"
"94","Robert I Montgomery","Standing Male Nude","https://collections.ed.ac.uk/art/record/21043?highlight=*:*"
"95","John Nichol","Champagne (1993)","https://collections.ed.ac.uk/art/record/99416?highlight=*:*"
"96","Eden Hawkins","Untitled","https://collections.ed.ac.uk/art/record/112448?highlight=*:*"
"97","Alexander S Campbell","Riders from South Frieze of the Parthenon (1836-1837)","https://collections.ed.ac.uk/art/record/20726?highlight=*:*"
"98","Margaret Proudfoot","Udder Hand (2016)","https://collections.ed.ac.uk/art/record/99265?highlight=*:*"
"99",NA,"Unknown","https://collections.ed.ac.uk/art/record/50632?highlight=*:*"
"100",NA,"Standing Female Nude (1954)","https://collections.ed.ac.uk/art/record/21246?highlight=*:*"
"101","Marjorie Wallace","From Rialto Venezia (10 Mar 1948)","https://collections.ed.ac.uk/art/record/20854?highlight=*:*"
"102","Iona Murray","Untitled - Sprite in Long Gown (1963)","https://collections.ed.ac.uk/art/record/99402?highlight=*:*"
"103","Unknown","Four way / Exchange Portfolio (Unknown)","https://collections.ed.ac.uk/art/record/99854?highlight=*:*"
"104","John P Busby","Standing Male Nude (1954)","https://collections.ed.ac.uk/art/record/21377?highlight=*:*"
"105","Winsome Douglass","Riders from West Frieze of the Parthenon (1836-1837)","https://collections.ed.ac.uk/art/record/20666?highlight=*:*"
"106","John W. Corner","Embroidered panel","https://collections.ed.ac.uk/art/record/113834?highlight=*:*"
"107","Lawrence F. Baxter","Commercial Street, Leith (Jan 1950)","https://collections.ed.ac.uk/art/record/50515?highlight=*:*"
"108","Kenneth Dingwall","Portrait of a Man (1956)","https://collections.ed.ac.uk/art/record/21182?highlight=*:*"
"109","John Houston","Standing Male Nude (1959)","https://collections.ed.ac.uk/art/record/21332?highlight=*:*"
"110",NA,"Standing Male Nude","https://collections.ed.ac.uk/art/record/21047?highlight=*:*"
"111","Moira Johnson","Untitled (1969)","https://collections.ed.ac.uk/art/record/22021?highlight=*:*"
"112","Unknown","Untitled (Unknown)","https://collections.ed.ac.uk/art/record/21862?highlight=*:*"
"113","Dorothy M. Peach","Small Landscape (1946)","https://collections.ed.ac.uk/art/record/21069?highlight=*:*"
"114","Alan M. Alexander","Unknown (1960)","https://collections.ed.ac.uk/art/record/50595?highlight=*:*"
"115","Alan M. Alexander","Unknown","https://collections.ed.ac.uk/art/record/50598?highlight=*:*"
"116","Unknown","Riders from the West Frieze of the Parthenon (1836-1837)","https://collections.ed.ac.uk/art/record/20671?highlight=*:*"
"117","Rosemary Hamblin","Bloomers","https://collections.ed.ac.uk/art/record/102663?highlight=*:*"
"118","Kirkland Main","Untitled (1969)","https://collections.ed.ac.uk/art/record/22004?highlight=*:*"
"119","Unknown","Untitled","https://collections.ed.ac.uk/art/record/99987?highlight=*:*"
"120",NA,"Untitled (Unknown)","https://collections.ed.ac.uk/art/record/21946?highlight=*:*"
"121","Francis Curran","Unknown (1950)","https://collections.ed.ac.uk/art/record/50505?highlight=*:*"
"122","M McKeown","Standing Male Nude (Dec 1951)","https://collections.ed.ac.uk/art/record/21225?highlight=*:*"
"123","Ian Paterson","Woman in a Blue Background","https://collections.ed.ac.uk/art/record/22696?highlight=*:*"
"124","John Houston","Standing Man with Scythe","https://collections.ed.ac.uk/art/record/20770?highlight=*:*"
"125","Paul Furneaux","Untited (1986)","https://collections.ed.ac.uk/art/record/21611?highlight=*:*"
"126","Enid Marx","Tiger Tiger (Unknown)","https://collections.ed.ac.uk/art/record/21664?highlight=*:*"
"127","Heather Measham","Standing Male Nude (1939)","https://collections.ed.ac.uk/art/record/21137?highlight=*:*"
"128","Suzanne Priestley","Works of a Strange Device: Drawing Smoke (2016)","https://collections.ed.ac.uk/art/record/99239?highlight=*:*"
"129","Jonathan Lyn","Oranges (2018)","https://collections.ed.ac.uk/art/record/102753?highlight=*:*"
"130","Jessica Gasson","Untitled (1963)","https://collections.ed.ac.uk/art/record/22014?highlight=*:*"
"131","Kathleen Russell",NA,NA
"132","Walter Miller","Standing Male Nude (Jan 1958)","https://collections.ed.ac.uk/art/record/20907?highlight=*:*"
"133","Alistair W McCheyne","Seated Female Nude (Circa 1939)","https://collections.ed.ac.uk/art/record/21139?highlight=*:*"
"134","J Nicoll","Untitled (Unknown)","https://collections.ed.ac.uk/art/record/21728?highlight=*:*"
"135","Margaret Ronald","Female Nude Seated on a Chair (1953)","https://collections.ed.ac.uk/art/record/20950?highlight=*:*"
"136","Gordon Bryce","Untitled - Figure Drawing of a Man on a Stool (1964)","https://collections.ed.ac.uk/art/record/99326?highlight=*:*"
"137","Alan Lefley","Unknown (1946)","https://collections.ed.ac.uk/art/record/50486?highlight=*:*"
"138","John Henning","Parthenon Frieze in Miniature","https://collections.ed.ac.uk/art/record/20584?highlight=*:*"
"139","Renny Tait","Untitled (Unknown)","https://collections.ed.ac.uk/art/record/21723?highlight=*:*"
"140",NA,"Figure of a river-god from west pediment","https://collections.ed.ac.uk/art/record/20633?highlight=*:*"
"141",NA,"Untitled","https://collections.ed.ac.uk/art/record/112505?highlight=*:*"
"142","Unknown","Vilnius Academy of Fine Arts","https://collections.ed.ac.uk/art/record/99853?highlight=*:*"
"143","Elizabeth Blackadder","Unknown","https://collections.ed.ac.uk/art/record/50638?highlight=*:*"
"144","Emma Gillies","Goat","https://collections.ed.ac.uk/art/record/53746?highlight=*:*"
"145","Frederick C White","Untitled - Street Scene (1960)","https://collections.ed.ac.uk/art/record/99453?highlight=*:*"
"146","Sharon Cornwill","Untitled (Jan 1997)","https://collections.ed.ac.uk/art/record/21920?highlight=*:*"
"147","Unknown","Dying Gaul (1822)","https://collections.ed.ac.uk/art/record/20597?highlight=*:*"
"148","Lys Hansen","Standing Male Nude (1959)","https://collections.ed.ac.uk/art/record/20955?highlight=*:*"
"149","Caroline Boyle","Ship in the Dockyard","https://collections.ed.ac.uk/art/record/21502?highlight=*:*"
"150","Sax Shaw","Venice (1951)","https://collections.ed.ac.uk/art/record/99849?highlight=*:*"
"151","Unknown","Unknown","https://collections.ed.ac.uk/art/record/53546?highlight=*:*"
"152","John Houston","Seated Male Nude","https://collections.ed.ac.uk/art/record/21044?highlight=*:*"
"153","Unknown","Grey Cover","https://collections.ed.ac.uk/art/record/22633?highlight=*:*"
"154","Kenneth Dingwall","Portrait of a Man (1959)","https://collections.ed.ac.uk/art/record/21331?highlight=*:*"
"155","Cameron","Unknown (1964)","https://collections.ed.ac.uk/art/record/53586?highlight=*:*"
"156","Euan Gray","1st State (Unknown)","https://collections.ed.ac.uk/art/record/21951?highlight=*:*"
"157","Barbara Hepworth","Three studies on a pink ground (girl with clasped hands) (1949)","https://collections.ed.ac.uk/art/record/20769?highlight=*:*"
"158","Emma Gillies","Double Handled Vessel","https://collections.ed.ac.uk/art/record/53739?highlight=*:*"
"159","James Howden","Untitled (Sucker Darts) (2016)","https://collections.ed.ac.uk/art/record/113746?highlight=*:*"
"160","Dong Ding","The Boundary of Balance (2019)","https://collections.ed.ac.uk/art/record/113743?highlight=*:*"
"161","Alan M. Alexander","Still Life with Goblets (1959)","https://collections.ed.ac.uk/art/record/22743?highlight=*:*"
"162","Peter G. Collins","Horse of Selene from the east pediment","https://collections.ed.ac.uk/art/record/20634?highlight=*:*"
"163","Vincent Butler","Unknown (1953-1954)","https://collections.ed.ac.uk/art/record/50540?highlight=*:*"
"164","Zygmunt Bukowski","Benin Head (1964-1964)","https://collections.ed.ac.uk/art/record/99224?highlight=*:*"
"165","Alan M. Alexander","","https://collections.ed.ac.uk/art/record/112513?highlight=*:*"
"166","Unknown","Unknown (1960)","https://collections.ed.ac.uk/art/record/50596?highlight=*:*"
"167","Unknown","Replica cast (brown) of Parthenon slab GE33","https://collections.ed.ac.uk/art/record/20657?highlight=*:*"
"168","Kirsty MacDonald","Lorenzo de' Medici (Pre 1837)","https://collections.ed.ac.uk/art/record/20595?highlight=*:*"
"169","Ruth Walker","Untitled (2002)","https://collections.ed.ac.uk/art/record/99929?highlight=*:*"
"170","Ian Short","Untitled (1963)","https://collections.ed.ac.uk/art/record/22023?highlight=*:*"
"171",NA,"Seated Male Nude (1953)","https://collections.ed.ac.uk/art/record/20941?highlight=*:*"
"172","Marjorie Wallace","View of a Street and Market (1948)","https://collections.ed.ac.uk/art/record/20853?highlight=*:*"
"173","Unknown","Untitled (Unknown)","https://collections.ed.ac.uk/art/record/21633?highlight=*:*"
"174","Hugh Deans","Unknown (1960)","https://collections.ed.ac.uk/art/record/53572?highlight=*:*"
